,name,price,rating,review
177,"Veneer Laptop Bag 15.6 Inch, Business Briefcase for Men Women, 15inch Water Resistant Messenger Shoulder Bag with Strap, Durable Office Bag, for Computer/Notebook/MacBook","₹1,055.00",4.2 out of 5 stars,
178,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,196.00",4.2 out of 5 stars,
179,Zeog 25 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys & Girls Office/School/College/Travel Backpack | Zeog2blk,₹799.00,Previous page,
180,Anti Theft Faux Leather,₹499.00,3.9 out of 5 stars,
181,"Chris & Kate 42ltr Navy-Red Comfortable Casual, School Backpack",₹549.00,Previous page,
182,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),₹881,4.4 out of 5 stars,323 ratings
183,"LuvLap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹549.00,4.3 out of 5 stars,₹549.00₹549.00
184,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),₹899,4.3 out of 5 stars,334 ratings
185,Baggit Women Hobo Handbag (ROSE),₹595.00,4.2 out of 5 stars,
186,"Trajectory Sigma Brown Elegant Vegan Leather Crossbody Messenger Office Bag for upto 15.6 Inch Laptop , MacBook , Notebook with Multiple Compartment Shoulder & Handbag for Men & Women with 2 Years Warranty","₹1,399.00",4.2 out of 5 stars,
187,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",₹449.00,3.8 out of 5 stars,
188,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,₹999,4.4 out of 5 stars,"3,057 ratings"
189,Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),"₹1,568",4.4 out of 5 stars,753 ratings
190,URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,₹798.00,3.5 out of 5 stars,
